Nombre,Tipo de dato,Default Task,Atributos,Instancias,Numero de atributos
Abalone,Multivariate ,Classification ,"Categorical, Integer, Real ",4177 ,8 
Adult,Multivariate ,Classification ,"Categorical, Integer ",48842 ,14 
Annealing,Multivariate ,Classification ,"Categorical, Integer, Real ",798 ,38 
Anonymous Microsoft Web Data, ,Recommender-Systems ,Categorical ,37711 ,294 
Arrhythmia,Multivariate ,Classification ,"Categorical, Integer, Real ",452 ,279 
Artificial Characters,Multivariate ,Classification ,"Categorical, Integer, Real ",6000 ,7 
Audiology (Original),Multivariate ,Classification ,Categorical ,226 , 
Audiology (Standardized),Multivariate ,Classification ,Categorical ,226 ,69 
Auto MPG,Multivariate ,Regression ,"Categorical, Real ",398 ,8 
Automobile,Multivariate ,Regression ,"Categorical, Integer, Real ",205 ,26 
Badges,"Univariate, Text ",Classification , ,294 ,1 
Balance Scale,Multivariate ,Classification ,Categorical ,625 ,4 
Balloons,Multivariate ,Classification ,Categorical ,16 ,4 
Breast Cancer,Multivariate ,Classification ,Categorical ,286 ,9 
Breast Cancer Wisconsin (Original),Multivariate ,Classification ,Integer ,699 ,10 
Breast Cancer Wisconsin (Prognostic),Multivariate ,"Classification, Regression ",Real ,198 ,34 
Breast Cancer Wisconsin (Diagnostic),Multivariate ,Classification ,Real ,569 ,32 
Pittsburgh Bridges,Multivariate ,Classification ,"Categorical, Integer ",108 ,13 
Car Evaluation,Multivariate ,Classification ,Categorical ,1728 ,6 
Census Income,Multivariate ,Classification ,"Categorical, Integer ",48842 ,14 
Chess (King-Rook vs. King-Knight),"Multivariate, Data-Generator ",Classification ,"Categorical, Integer ", ,22 
Chess (King-Rook vs. King-Pawn),Multivariate ,Classification ,Categorical ,3196 ,36 
Chess (King-Rook vs. King),Multivariate ,Classification ,"Categorical, Integer ",28056 ,6 
Chess (Domain Theories),Domain-Theory , , , , 
Bach Chorales,"Univariate, Time-Series ", ,"Categorical, Integer ",100 ,6 
Connect-4,"Multivariate, Spatial ",Classification ,Categorical ,67557 ,42 
Credit Approval,Multivariate ,Classification ,"Categorical, Integer, Real ",690 ,15 
Japanese Credit Screening,"Multivariate, Domain-Theory ",Classification ,"Categorical, Real, Integer ",125 , 
Computer Hardware,Multivariate ,Regression ,Integer ,209 ,9 
Contraceptive Method Choice,Multivariate ,Classification ,"Categorical, Integer ",1473 ,9 
Covertype,Multivariate ,Classification ,"Categorical, Integer ",581012 ,54 
Cylinder Bands,Multivariate ,Classification ,"Categorical, Integer, Real ",512 ,39 
Dermatology,Multivariate ,Classification ,"Categorical, Integer ",366 ,33 
Diabetes,"Multivariate, Time-Series ", ,"Categorical, Integer ", ,20 
DGP2 - The Second Data Generation Program,Data-Generator , ,Real , , 
Document Understanding, , , , , 
EBL Domain Theories, , , , , 
Echocardiogram,Multivariate ,Classification ,"Categorical, Integer, Real ",132 ,12 
Ecoli,Multivariate ,Classification ,Real ,336 ,8 
Flags,Multivariate ,Classification ,"Categorical, Integer ",194 ,30 
Function Finding, ,Function-Learning ,Real ,352 , 
Glass Identification,Multivariate ,Classification ,Real ,214 ,10 
Haberman's Survival,Multivariate ,Classification ,Integer ,306 ,3 
Hayes-Roth,Multivariate ,Classification ,Categorical ,160 ,5 
Heart Disease,Multivariate ,Classification ,"Categorical, Integer, Real ",303 ,75 
Hepatitis,Multivariate ,Classification ,"Categorical, Integer, Real ",155 ,19 
Horse Colic,Multivariate ,Classification ,"Categorical, Integer, Real ",368 ,27 
ICU,"Multivariate, Time-Series ", ,Real , , 
Image Segmentation,Multivariate ,Classification ,Real ,2310 ,19 
Internet Advertisements,Multivariate ,Classification ,"Categorical, Integer, Real ",3279 ,1558 
Ionosphere,Multivariate ,Classification ,"Integer, Real ",351 ,34 
Iris,Multivariate ,Classification ,Real ,150 ,4 
ISOLET,Multivariate ,Classification ,Real ,7797 ,617 
Kinship,Relational ,Relational-Learning ,Categorical ,104 ,12 
Labor Relations,Multivariate , ,"Categorical, Integer, Real ",57 ,16 
LED Display Domain,"Multivariate, Data-Generator ",Classification ,Categorical , ,7 
Lenses,Multivariate ,Classification ,Categorical ,24 ,4 
Letter Recognition,Multivariate ,Classification ,Integer ,20000 ,16 
Liver Disorders,Multivariate , ,"Categorical, Integer, Real ",345 ,7 
Logic Theorist,Domain-Theory , , , , 
Lung Cancer,Multivariate ,Classification ,Integer ,32 ,56 
Lymphography,Multivariate ,Classification ,Categorical ,148 ,18 
Mechanical Analysis,Multivariate ,Classification ,"Categorical, Integer, Real ",209 ,8 
Meta-data,Multivariate ,Classification ,"Categorical, Integer, Real ",528 ,22 
Mobile Robots,Domain-Theory , ,"Categorical, Integer, Real ", , 
